name
Claudio Bisio
Whit Bissell
Jacqueline Bisset
Biswajeet
Chhabi Biswas
Seema Biswas
Tibor Bitskey
Lauren Bittner
Bill Bixby
Nadia Bjorlin
Irina Björklund
Gunnar Björnstrand
Claudia Black
Jack Black
Karen Black
Lewis Black
Lucas Black
Noel Black
Shane Black
Joan Blackham
Honor Blackman
Jeremy Blackman
Joan Blackman
Sidney Blackmer
Elizabeth Blackmore
Steven Blacksmith
Paul Blackthorne
Vas Blackwood
Rubén Blades
Ljiljana Blagojević
Gérard Blain
Vivian Blaine
Betsy Blair
Janet Blair
Linda Blair
Selma Blair
Wayne Blair
Pierre Blaise
Colin Blakely
Susan Blakely
J Blakeson
Ronee Blakley
Dominique Blanc
Manuel Blanc
Mel Blanc
Michel Blanc
Dominique Blanchar
Pierre Blanchar
Rachel Blanchard
Tammy Blanchard
Francis Blanche
Cate Blanchett
Eduardo Blanco
Billy Blanks
Alessandro Blasetti
William Peter Blatty
Moritz Bleibtreu
Claudiu Bleonț
Brian Blessed
Brenda Blethyn
Corbin Bleu
Bernard Blier
Bertrand Blier
Mary J. Blige
Boris Blinov
Lucille Bliss
Michael Blodgett
Sebastian Blomberg
Neill Blomkamp
Joan Blondell
Moon Bloodgood
Brian Bloom
Claire Bloom
Orlando Bloom
Verna Bloom
Eric Blore
Roberts Blossom
Lisa Blount
Ben Blue
Monte Blue
Betiana Blum
Mark Blum
Stuart Blumberg
Graeme Blundell
Emily Blunt
Lothaire Bluteau
Don Bluth
Maggie Blye
John G. Blystone
Stanley Blystone
Ann Blyth
Huang Bo
Huanghai Bo
Jianghong Bo
Eleanor Boardman
Freddie Boath
Michael Boatman
Sapp Bob
Uecker Bob
Kunchacko Boban
Anne Bobby
Moore Bobby
James Bobin
Delia Boccardo
Hart Bochner
Wolfgang Bodison
Sergei Bodrov
Sergei (Jr.) Bodrov
Christoffer Boe
Carl Boese
Ashley Boettcher
Budd Boetticher
Lucienne Bogaert
Dirk Bogarde
Humphrey Bogart
Paul Bogart
Yuri Bogatyryov
Peter Bogdanovich
Eric Bogosian
Mirjana Bohanec
Marquard Bohm
Roman Bohnen
Richard Bohringer
Romane Bohringer
Curt Bois
Michel Boisrond
Julien Boisselier
Yves Boisset
Christine Boisson
Pierre Bokma
Carlos Bolado
Mary Boland
Philip Bolden
John Boles
Richard Boleslawski
Ray Bolger
Sarah Bolger
Florinda Bolkan
Uwe Boll
Hannelore Bollmann
Joseph Bologna
Mauro Bolognini
Andrei Boltnev
Matt Bomer
Jon Bon Jovi
Paolo Bonacelli
Anna Bonaiuto
Olivia Bonamy
Gary Bond
Timothy Bond
Tommy Bond
Ward Bond
Fedor Bondarchuk
Sergei Bondarchuk
Beulah Bondi
Peter Bonerz
Lisa Bonet
Joon-ho Bong
Ramon Bong Revilla
Jason Bonham
Helena Bonham Carter
Alessio Boni
J. Evan Bonifant
Jesús Bonilla
Agathe Bonitzer
Ferdinand Bonn
Sandrine Bonnaire
Priscilla Bonner
Valérie Bonneton
Hugh Bonneville
Céline Bonnier
André Bonzel
Asher Book
DeVeren Bookwalter
Dany Boon
Mark (Jr.) Boone
Megan Boone
Pat Boone
Richard Boone
Mika Boorem
Charley Boorman
John Boorman
Douglas Booth
James Booth
Lindy Booth
Shirley Booth
Zachary Booth
Powers Boothe
Jingchan Bor
Paola Borboni
Cornell Borchers
Carlos F. Borcosque
Lizzy Borden
Bernard Borderie
Sebastián Borensztein
Sven Hugo Borg
Graciela Borges
Ernest Borgnine
Ole Bornedal
Kyle Bornheimer
Walerian Borowczyk
Jesse Borrego
Alex Borstein
Jean-Marc Bory
Frank Borzage
